,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date,month,Quarter,QYear,Byear
0,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,AUG FY2022,204,01-08-2016,AUG,Q1,2022,2016
1,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,OCT FY2022,564,01-10-2016,OCT,Q1,2022,2016
2,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,SEP FY2022,1476,01-09-2016,SEP,Q1,2022,2016
3,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,AUG FY2002,374,01-08-2017,AUG,Q1,2002,2017
4,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,OCT FY2002,6094,01-10-2017,OCT,Q1,2002,2017
5,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,SEP FY2002,354,01-09-2017,SEP,Q1,2002,2017
6,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,AUG FY2008,906,01-08-2018,AUG,Q1,2008,2018
7,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,OCT FY2008,664,01-10-2018,OCT,Q1,2008,2018
8,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,SEP FY2008,2146,01-09-2018,SEP,Q1,2008,2018
9,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,AUG FY2007,606,01-08-2019,AUG,Q1,2007,2019
10,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,OCT FY2007,1039,01-10-2019,OCT,Q1,2007,2019
11,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,SEP FY2007,682,01-09-2019,SEP,Q1,2007,2019
12,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2011,AUG FY2011,279,01-08-2020,AUG,Q1,2011,2020
13,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2011,OCT FY2011,407,01-10-2020,OCT,Q1,2011,2020
14,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2011,SEP FY2011,234,01-09-2020,SEP,Q1,2011,2020
15,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2012,AUG FY2012,64,01-08-2021,AUG,Q1,2012,2021
16,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2012,OCT FY2012,303,01-10-2021,OCT,Q1,2012,2021
17,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2012,SEP FY2012,742,01-09-2021,SEP,Q1,2012,2021
18,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,AUG FY2022,641,01-08-2022,AUG,Q1,2022,2022
19,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,OCT FY2022,530,01-10-2022,OCT,Q1,2022,2022
20,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,SEP FY2022,291,01-09-2022,SEP,Q1,2022,2022
21,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,DEC FY2022,3680,01-12-2016,DEC,Q2,2022,2016
22,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,JAN FY2022,2576,01-01-2016,JAN,Q2,2022,2016
23,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,NOV FY2022,154,01-11-2016,NOV,Q2,2022,2016
24,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,DEC FY2002,1821,01-12-2017,DEC,Q2,2002,2017
25,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,JAN FY2002,4740,01-01-2017,JAN,Q2,2002,2017
26,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,NOV FY2002,335,01-11-2017,NOV,Q2,2002,2017
27,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,DEC FY2008,368,01-12-2018,DEC,Q2,2008,2018
28,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,JAN FY2008,746,01-01-2018,JAN,Q2,2008,2018
29,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,NOV FY2008,1635,01-11-2018,NOV,Q2,2008,2018
30,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2007,DEC FY2007,1526,01-12-2019,DEC,Q2,2007,2019
31,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2007,JAN FY2007,1913,01-01-2019,JAN,Q2,2007,2019
32,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2007,NOV FY2007,26,01-11-2019,NOV,Q2,2007,2019
33,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2011,DEC FY2011,204,01-12-2020,DEC,Q2,2011,2020
34,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2011,JAN FY2011,648,01-01-2020,JAN,Q2,2011,2020
35,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2011,NOV FY2011,336,01-11-2020,NOV,Q2,2011,2020
36,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2012,DEC FY2012,424,01-12-2021,DEC,Q2,2012,2021
37,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2012,JAN FY2012,74,01-01-2021,JAN,Q2,2012,2021
38,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2012,NOV FY2012,581,01-11-2021,NOV,Q2,2012,2021
39,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,DEC FY2022,214,01-12-2022,DEC,Q2,2022,2022
40,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,JAN FY2022,139,01-01-2022,JAN,Q2,2022,2022
41,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,NOV FY2022,167,01-11-2022,NOV,Q2,2022,2022
42,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2022,APR FY2022,4304,01-04-2016,APR,Q3,2022,2016
43,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2022,FEB FY2022,3562,01-02-2016,FEB,Q3,2022,2016
44,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2022,MAR FY2022,1158,01-03-2016,MAR,Q3,2022,2016
45,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2002,APR FY2002,3908,01-04-2017,APR,Q3,2002,2017
46,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2002,FEB FY2002,483,01-02-2017,FEB,Q3,2002,2017
47,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2002,MAR FY2002,1721,01-03-2017,MAR,Q3,2002,2017
48,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2008,APR FY2008,3894,01-04-2018,APR,Q3,2008,2018
49,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2008,FEB FY2008,1972,01-02-2018,FEB,Q3,2008,2018
50,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2008,MAR FY2008,2108,01-03-2018,MAR,Q3,2008,2018
51,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2007,APR FY2007,950,01-04-2019,APR,Q3,2007,2019
52,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2007,FEB FY2007,743,01-02-2019,FEB,Q3,2007,2019
53,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2007,MAR FY2007,525,01-03-2019,MAR,Q3,2007,2019
54,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2011,APR FY2011,946,01-04-2020,APR,Q3,2011,2020
55,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2011,FEB FY2011,84,01-02-2020,FEB,Q3,2011,2020
56,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2011,MAR FY2011,164,01-03-2020,MAR,Q3,2011,2020
57,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2012,APR FY2012,436,01-04-2021,APR,Q3,2012,2021
58,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2012,FEB FY2012,110,01-02-2021,FEB,Q3,2012,2021
59,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2012,MAR FY2012,917,01-03-2021,MAR,Q3,2012,2021
60,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2015,JUL FY2015,2092,01-07-2015,JUL,Q4,2015,2015
61,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2022,JUL FY2022,3648,01-07-2016,JUL,Q4,2022,2016
62,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2022,JUN FY2022,1234,01-06-2016,JUN,Q4,2022,2016
63,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2022,MAY FY2022,950,01-05-2016,MAY,Q4,2022,2016
64,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2002,JUL FY2002,1590,01-07-2017,JUL,Q4,2002,2017
65,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2002,JUN FY2002,2467,01-06-2017,JUN,Q4,2002,2017
66,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2002,MAY FY2002,845,01-05-2017,MAY,Q4,2002,2017
67,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2008,JUL FY2008,29,01-07-2018,JUL,Q4,2008,2018
68,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2008,JUN FY2008,783,01-06-2018,JUN,Q4,2008,2018
69,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2008,MAY FY2008,2014,01-05-2018,MAY,Q4,2008,2018
